Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5PaqFdIb4vspKAmpCqDuzz,"Am I Wrong","Am I Wrong","Nico & Vinz",2013-04-12,249520,35,false,1280011281,2014-08-07T23:14:03Z,"","Parlophone Norway",0.719,0.45,8,-13.529,1,0.0346,0.183,0.00000254,0.0979,0.794,119.935,4
spotify:track:6HFbq7cewJ7rPiffV0ciil,"A Sky Full of Stars","A Sky Full of Stars","Coldplay",2014-05-02,267866,56,false,1280011281,2014-08-07T23:14:08Z,"","Parlophone UK",0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4
spotify:track:6eLrCtqlpjroAkES2EHCx0,"Sing","Sing","Ed Sheeran",2014-04-11,235382,31,false,1280011281,2014-08-07T23:14:10Z,"soft pop","Atlantic Records UK",0.818,0.67,8,-4.451,0,0.0472,0.304,0.00000122,0.0601,0.939,119.988,4
spotify:track:6GmUVqe73u5YRfUUynZK6I,"Let Her Go","All the Little Lights","Passenger",2012-06-29,252733,1,false,1280011281,2014-08-07T23:14:15Z,"folk pop","Nettwerk Records",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,4
spotify:track:24lMtPOCzP5g4hrg3NklLa,"Just The Way You Are","Just The Way You Are","Bruno Mars",2010-07-20,220733,0,false,1280011281,2014-08-07T23:14:19Z,"","Elektra (NEK)",0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,4
spotify:track:3bidbhpOYeV4knp8AIu8Xn,"Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton",2012-10-09,258342,80,false,1280011281,2014-08-07T23:14:21Z,"","Macklemore",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
spotify:track:2p3ygTLthnqH1XmE8b7mtS,"jar of hearts","lovestrong.","Christina Perri",2011-05-10,246587,48,false,1280011281,2014-08-07T23:14:26Z,"soft pop","Atlantic Records",0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,4
spotify:track:4NTWZqvfQTlOMitlVn6tew,"The Show Goes On","Lasers","Lupe Fiasco",2011-03-04,239613,71,true,1280011281,2014-08-07T23:14:32Z,"","1st & 15th/Atlantic",0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.155,0.65,143.067,4
spotify:track:5xPazRvyrkVootu8pM9vUG,"Rolling in the Deep","Rolling In The Deep","Adele",2010-11-30,228093,0,false,1280011281,2014-08-07T23:14:42Z,"soft pop","XL Recordings/Columbia",0.73,0.77,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:2tJulUYLDKOg9XrtVkMgcJ,"Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,222091,79,false,1280011281,2014-08-07T23:14:47Z,"","Atlantic Records",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
spotify:track:27jdUE1EYDSXZqhjuNxLem,"Magic","Magic","Coldplay",2014-03-03,285014,55,false,1280011281,2014-08-07T23:14:58Z,"","Parlophone UK",0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,4
spotify:track:5FeuH4LtGxDWkSkhRG47QT,"You Make Me Feel... (feat. Sabi)","You Make Me Feel... (feat. Sabi)","Cobra Starship;Sabi",2011-05-10,215693,60,false,1280011281,2014-08-07T23:15:05Z,"","Decaydance/Fueled By Ramen",0.668,0.857,7,-2.944,0,0.0535,0.0191,0.00000671,0.0385,0.748,131.959,4
spotify:track:0kUMtZVaYb7EETkBdrEXXA,"Firework","Teenage Dream","Katy Perry",2010-08-24,227893,57,false,1280011281,2014-08-07T23:15:08Z,"pop","Capitol Records",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,"Royals","Pure Heroine","Lorde",2013-09-27,190185,80,false,1280011281,2014-08-07T23:15:16Z,"","Universal Music New Zealand Limited",0.674,0.426,7,-9.504,1,0.122,0.12,0,0.132,0.337,84.876,4
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Nayer)","Planet Pit (Deluxe Version)","Pitbull;AFROJACK;Ne-Yo;Nayer",2011-06-17,252306,88,false,1280011281,2014-08-07T23:15:18Z,"edm,big room","Mr.305/Polo Grounds Music/J Records",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
spotify:track:1DZDNqRCKbnsmyAFrKX78S,"The Catalyst","A Thousand Suns","Linkin Park",2010-09-13,339853,0,false,1280011281,2014-08-07T23:15:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.56,0.925,0,-5.48,1,0.0362,0.0372,0,0.104,0.178,135.009,4
spotify:track:4jx64GUcjOIKl6Rdc0gXRB,"Don't Wanna Go Home","Don't Wanna Go Home","Jason Derulo",2011-05-20,206080,26,false,1280011281,2014-08-07T23:15:31Z,"","Beluga Heights/Warner Records",0.671,0.808,2,-4.861,0,0.0652,0.02,0,0.134,0.637,121.956,4
spotify:track:3JA9Jsuxr4xgHXEawAdCp4,"Just Can’t Get Enough","The Beginning","Black Eyed Peas",2010-01-01,219426,83,false,1280011281,2014-08-07T23:15:42Z,"","A&M",0.659,0.629,0,-8.685,0,0.18,0.19,0,0.105,0.262,94.049,4
spotify:track:08Bfk5Y2S5fCxgxk371Eel,"S&M","Loud","Rihanna",2010-11-16,243533,50,true,1280011281,2014-08-07T23:15:46Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
