Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OV07sTuTJu8MbWvJmmqdW,"Thanimai Kadhal","Thanimai Kadhal","Lovely Rapper Shridhar;NJ Nishanth",2016-08-29,301999,54,false,kavya1287,2020-03-02T04:31:25Z,"tamil hip hop,tamil indie","Saai Media",0.686,0.738,9,-7.521,0,0.0431,0.145,0,0.0734,0.864,160.002,4
spotify:track:1nIMRpxCoLzdwvlWG2o7zK,"Adiyae Azhagae","Oru Naal Koothu (Original Motion Picture Soundtrack)","Justin Prabhakaran;Sean Roldan;Padmalatha",2015-10-19,289404,52,false,kavya1287,2020-03-02T04:34:08Z,"tollywood,telugu pop,mollywood,tamil pop,malayalam pop,kollywood","Think Music",0.718,0.486,7,-8.507,1,0.057,0.572,0.00000161,0.0868,0.511,79.999,4
spotify:track:6sAdmaffuMijDszeFrGF1H,"Enakenna Yaarum Illaye (From ""Aakko"")","Enakenna Yaarum Illaye (From ""Aakko"")","Anirudh Ravichander;Vignesh Shivan",2015-02-14,260812,69,false,kavya1287,2020-03-02T04:36:02Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.571,0.818,5,-3.926,0,0.0857,0.0966,0,0.16,0.781,160.036,4
spotify:track:6iFtthbgVJ17yByu5q3ruR,"Therikkudhu Masss (From ""Masss"")","Masss (Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Shankar Mahadevan;Ranjith Govind",2015-05-08,283202,0,false,kavya1287,2020-03-02T04:36:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,marathi pop,bollywood,devotional,bhajan,desi,hindi pop,telugu pop,tollywood","Eros Now Music",0.701,0.832,10,-3.703,1,0.0434,0.0211,0.000532,0.0582,0.524,139.998,4
spotify:track:0eMGhNcVuvY9aUM6SopdbW,"Naan Aval Illai (From ""Masss"")","Masss (Original Motion Picture Soundtrack)","Karthik;Chinmayi",2015-05-08,276000,0,false,kavya1287,2020-03-02T04:36:52Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,mollywood,tamil dance,marathi pop,bollywood","Eros Now Music",0.572,0.624,5,-6.048,0,0.0461,0.341,0.0000143,0.0675,0.358,129.952,4
spotify:track:0249Wjt2twxjF96oTWgnkr,"Thoovaanam","Romeo Juliet (Original Motion Picture Soundtrack)","D. Imman;Vishal Dadlani;Sunitha Sarathy;Thamarai",2015-03-12,265499,55,false,kavya1287,2020-03-02T04:38:20Z,"tamil pop,tamil dance,kollywood,bollywood,desi,hindi pop,tollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.487,0.609,7,-4.888,0,0.0283,0.568,0.000125,0.2,0.502,159.94,3
spotify:track:0Vt8uXauV5ptF470jaap6i,"Inayae (From ""Thadam"")","Inayae (From ""Thadam"") - Single","Sid Sriram;Padmalatha;Arun Raj",2018-05-12,214374,44,false,kavya1287,2020-03-02T04:40:32Z,"tollywood,telugu pop,tamil pop,kollywood","Saregama",0.522,0.603,2,-5.995,1,0.0274,0.821,0.0000365,0.0789,0.545,91.994,4
spotify:track:5suv3WcsyNg70P19wFayTC,"Singappenney (From ""Bigil"")","Singappenney (From ""Bigil"")","A.R. Rahman;Shashaa Tirupati",2019-07-24,364109,36,false,kavya1287,2020-03-02T04:42:08Z,"tamil pop,kollywood,sufi,bollywood,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.741,0.623,9,-9.597,1,0.0758,0.188,0.0000157,0.112,0.525,140.038,4
spotify:track:612T2qs3Xaj72F8M0bj9gL,"Marana Mass - From ""Petta""","Marana Mass (From ""Petta"")","Anirudh Ravichander;S. P. Balasubrahmanyam;Vivek",2018-12-07,216000,49,false,kavya1287,2020-03-02T04:42:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,kannada pop,devotional,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.481,0.872,10,-5.5,0,0.388,0.469,0.0000619,0.145,0.717,83.606,4
spotify:track:0Tm5ER6IrGfmW0yZ5lkQli,"Rowdy Baby","Rowdy Baby (From 'Maari 2' Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Dhanush;Dhee",2018-11-28,281440,0,false,kavya1287,2020-03-02T04:42:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood","VMS Music Records And Publishing Sdn Bhd",0.67,0.702,10,-8.192,0,0.2,0.284,0.00295,0.16,0.584,176.991,3
