Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LGdO5MtFdyphi2EihANZG,"Knee Socks","AM","Arctic Monkeys",2013-09-09,257563,77,false,mei071712,2026-01-12T02:16:38Z,"indie,garage rock","Domino Recording Co",0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,4
spotify:track:62ZXL1CWLJDiDWUZUhfLfU,"Dopamine","Dopamine","BØRNS",2015-10-16,224373,57,false,mei071712,2026-01-12T02:16:38Z,"","UMGRI Interscope",0.551,0.813,5,-4.25,1,0.0621,0.0155,0.00000582,0.105,0.568,97.557,4
spotify:track:1KuVdyg8d6NlRhbpHxg5UF,"Social Cues","Social Cues","Cage The Elephant",2019-04-19,219057,69,false,mei071712,2026-01-12T02:16:38Z,"","RCA Records Label",0.668,0.913,9,-3.097,1,0.0348,0.0119,0.0000067,0.111,0.933,132.039,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,99,false,mei071712,2026-01-12T02:16:38Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade","My Chemical Romance",2006-10-20,161920,82,false,mei071712,2026-01-12T02:16:38Z,"emo,pop punk","Reprise",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
spotify:track:3t6vhRYuIpX4zlHCTC2h1d,"under the mat","I Barely Know Her","sombr",2025-08-22,284642,68,false,mei071712,2026-01-12T02:16:38Z,"","Warner Records",0.46,0.896,0,-2.986,1,0.0595,0.112,0.00000101,0.139,0.33,119.952,4
spotify:track:3j11iDncb7ZeDMw7lFucqM,"The Motto","DRIVE","Tiësto;Ava Max",2023-04-21,164818,72,false,mei071712,2026-01-12T02:16:38Z,"edm,trance,big room,house","Atlantic Records",0.754,0.763,7,-4.627,0,0.0435,0.0301,0.0000223,0.0901,0.464,117.953,4
spotify:track:7e8utCy2JlSB8dRHKi49xM,"Fluorescent Adolescent","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,173493,73,false,mei071712,2026-01-12T02:16:38Z,"indie,garage rock","Domino/Warner Records",0.646,0.813,6,-5.29,0,0.0288,0.00178,0.0000226,0.144,0.821,112.115,4
spotify:track:5m1x4QRgaKmK8cTkZQjGRr,"Home - 2019 Remaster","Up From Below - 10th Anniversary Edition","Edward Sharpe & The Magnetic Zeros",2009-07-07,306373,78,false,mei071712,2026-01-12T02:16:38Z,"","Community Music Group",0.53,0.634,2,-5.759,1,0.0311,0.245,0.000601,0.0978,0.105,111.615,4
spotify:track:6ihL9TjfRjadfEePzXXyVF,"Gives You Hell","When The World Comes Down","The All-American Rejects",2008-01-01,213106,73,false,mei071712,2026-01-12T02:16:38Z,"pop punk,emo","Interscope",0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
spotify:track:0A6sqSxlqml1wjQLjuM4BH,"Wonderwall - Remastered","Time Flies... 1994-2009 (Remastered)","Oasis",2025-06-13,261933,79,false,mei071712,2026-01-12T02:16:38Z,"britpop,madchester","Big Brother",0.477,0.888,2,-3.881,1,0.0357,0.000457,0,0.0907,0.501,87.123,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,93,true,mei071712,2026-01-12T02:16:38Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:2V65y3PX4DkRhy1djlxd9p,"Don't You Worry Child - Radio Edit","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,212862,84,false,mei071712,2026-01-12T02:16:38Z,"edm","Pophouse Entertainment Group",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,4
spotify:track:3LPLRNr58Z9Pn0clnEtkXb,"Anxiety","Alligator Bites Never Heal (Extended)","Doechii",2025-03-14,249302,75,true,mei071712,2026-01-12T02:16:38Z,"","Top Dawg Entertainment/Capitol Records",0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
spotify:track:3gjHnylel3PTRpjS44ocqr,"Zombie - 2025 Remastered","No Need To Argue (2025 Remastered)","The Cranberries",1994,305626,84,false,mei071712,2026-01-12T02:16:38Z,"","Island Records",0.277,0.733,7,-5.865,1,0.0509,0.00271,0.00203,0.376,0.17,166.861,4
spotify:track:0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,274706,86,false,mei071712,2026-01-12T02:16:38Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
spotify:track:1Q3t9fWvHUXKsMmpD2XpUu,"Cold Cold Cold","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,214383,71,false,mei071712,2026-01-12T02:16:38Z,"","RCA Records Label",0.549,0.789,5,-6.071,1,0.0313,0.0178,0.000067,0.059,0.715,136.125,4
spotify:track:2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,79,false,mei071712,2026-01-12T02:16:38Z,"","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
spotify:track:649o53ULWYN1y7V2OI5kgo,"Heat of the Summer","Mirror Master","Young the Giant",2018-10-12,211386,55,false,mei071712,2026-01-12T02:16:38Z,"","Elektra (NEK)",0.602,0.856,7,-5.558,1,0.0458,0.00515,0.00000297,0.098,0.895,80.021,4
spotify:track:0yTJtxZJ5VLfBEHhiNUNeY,"Silvertongue","Home of the Strange","Young the Giant",2016-08-12,197426,57,false,mei071712,2026-01-12T02:16:38Z,"","Fueled By Ramen",0.673,0.789,0,-4.288,1,0.0408,0.00975,0,0.752,0.841,100.043,4
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,81,false,mei071712,2026-01-12T02:16:38Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:0DwClY2t9YAWHBROMIgrXb,"Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,83,false,mei071712,2026-01-12T02:16:38Z,"folk pop,indie folk","Dualtone Music Group",0.685,0.466,0,-9.074,1,0.0304,0.791,0.00000206,0.0914,0.353,79.936,4
spotify:track:2Iq6HhIquO7JKr0KfTNLzU,"My Type","My Type EP","Saint Motel",2014-08-16,204811,69,false,mei071712,2026-01-12T02:16:38Z,"","Parlophone UK",0.595,0.896,10,-2.951,1,0.047,0.0641,0.0000582,0.0748,0.567,118.001,4
spotify:track:6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle;Kanye West",2008-03-28,284733,82,true,mei071712,2026-01-12T02:16:38Z,"rap","Round Hill Records",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
spotify:track:4qRaZYiaOsSvWC7VgcxrI0,"HandClap","Fitz and The Tantrums (Deluxe Edition)","Fitz and The Tantrums",2017-07-24,193253,68,false,mei071712,2026-01-12T02:16:38Z,"","Elektra (NEK)",0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4
