Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:00DMv3gdOFGDBFZ0WuvtXn,Visiri,Visiri (From 'Enai Noki Paayum Thota'),Darbuka Siva;Sid Sriram;Shashaa Tirupati,2018-01-01,311127,0,false,sanjnalnmurthi,2018-07-05T21:42:57Z,"tamil pop,kollywood,tollywood,telugu pop,hindi pop,bollywood",VMS Music Records And Publishing Sdn Bhd,0.585,0.347,7,-8.741,1,0.0303,0.655,0.0000332,0.131,0.54,114.863,4
spotify:track:00PXj8pxWLJ3apEnCPJTNI,Mudher Kanave,Majunu,Bombay Jayashri;Harish Raghavendra;O.S. Arun,2001-12-14,310706,65,false,sanjnalnmurthi,2024-12-06T18:45:31Z,"tamil pop,kollywood",Saregama,0.692,0.709,2,-10.778,1,0.0502,0.154,0.00000146,0.167,0.714,102.999,4
spotify:track:00QuXoF6LyKwH9xz7lXGdf,Kurukku Siruthvalea (From Mudhalvan),Singer Special Hariharan and K.J.Jesudas,Hariharan;Mahalakshmi Iyer,2013-05-13,398341,59,false,sanjnalnmurthi,2018-07-05T21:55:24Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,bollywood,desi",Five Star Audio,0.69,0.518,11,-8.843,0,0.0845,0.17,0.00000177,0.382,0.746,76.995,4
spotify:track:00bHxCcteaAJhU5WiP1mtf,Unakkenna Venum Sollu,Yennai Arindhaal (Original Motion Picture Soundtrack),Harris Jayaraj;Benny Dayal;Mahathi;Thamarai,2015-01-04,308242,58,false,kavya1287,2020-03-02T05:02:35Z,"tamil pop,kollywood,tamil dance,bollywood,desi,hindi pop",Sony Music Entertainment India Pvt. Ltd.,0.715,0.497,4,-9.914,1,0.0371,0.472,0,0.116,0.396,142.499,3
spotify:track:01hxswuVCO7kzVJKt001Vg,"Idhu Varai (From ""Goa"")",Playback: Madras Melodies - Soulful Tamil Melodies,Yuvan Shankar Raja;Ajesh;Andrea Jeremiah;Gangai Amaran,2015-02-12,284480,16,false,kavya1287,2020-03-02T05:04:37Z,"tamil pop,kollywood,tamil dance,tamil hip hop",Sony Music Entertainment India Pvt. Ltd.,0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:0249Wjt2twxjF96oTWgnkr,Thoovaanam,Romeo Juliet (Original Motion Picture Soundtrack),D. Imman;Vishal Dadlani;Sunitha Sarathy;Thamarai,2015-03-12,265499,55,false,kavya1287,2020-03-02T04:38:20Z,"tamil pop,tamil dance,kollywood,bollywood,desi,hindi pop,tollywood,tamil hip hop",Sony Music Entertainment India Pvt. Ltd.,0.487,0.609,7,-4.888,0,0.0283,0.568,0.000125,0.2,0.502,159.94,3
spotify:track:02hftz4dERYkXuvk8TrgJ1,Kannamma,Kaala (Original Motion Picture Soundtrack) - Tamil,Pradeep Kumar;Ananthu;Dhee;Santhosh Narayanan;Uma Devi,2018-03-02,289853,62,false,sanjnalnmurthi,2024-12-06T18:40:10Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop",Divo Tv Private Limited,0.64,0.256,4,-13.432,0,0.0376,0.763,0.000465,0.172,0.456,124.937,3
spotify:track:03TwFtM36dliwqTIyyewKO,"Rangu Rangamma (From ""Bheema"")",Vijay Jesudas and Karthik Hits,Vijay Yesudas;Kailash Kher;Swarnalatha,2013-06-25,364973,53,false,sanjnalnmurthi,2024-12-06T18:45:31Z,"malayalam pop,mollywood,tamil pop,kollywood,sufi,bhajan,bollywood,qawwali,hindi pop,tamil dance",Five Star Audio,0.815,0.642,5,-8.001,0,0.161,0.16,0.00504,0.111,0.578,140.913,4
spotify:track:03U54vL2BusGyivjzEIzmT,Dheemthanakka Thillana,Villu (Original Motion Picture Soundtrack),Devi Sri Prasad;Snehan,2009-01-12,249746,66,false,sanjnalnmurthi,2024-07-17T15:20:09Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood",Ayngaran,0.848,0.654,2,-6.004,1,0.0445,0.21,0.0326,0.107,0.769,136.993,4
spotify:track:04NcPs5V6181I5hvUFY4Vp,Sara Sara Saara Kathu,Vaagai Sooda Vaa (Original Motion Picture Soundtrack),Ghibran;Chinmayi,2011-07-01,298848,58,false,sanjnalnmurthi,2018-07-16T11:18:36Z,"devotional,tamil pop,kollywood,tollywood,marathi pop,telugu pop,bollywood",Think Music,0.578,0.629,10,-6.774,1,0.118,0.602,0,0.0708,0.528,104.097,4
spotify:track:04ZTpyNFrwdTgCIXC91QQZ,"Tamizha Tamizha (From ""Sivapu Mazhai"")",S.P.Balasubramaniyam Hits,S. P. Balasubrahmanyam,2014-05-25,253240,18,false,kavya1287,2020-11-02T03:47:25Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood",New Music,0.748,0.985,7,-6.707,1,0.101,0.114,0.00159,0.0633,0.434,139.965,4
spotify:track:04fYoQSUTfPhVjyW8aXkix,En Jannal Vandha,Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack),Yuvan Shankar Raja;Roshini;Priya Hemesh;Divya Vijay,2009-12-11,283480,56,false,sanjnalnmurthi,2023-01-30T11:05:07Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop",Sony Music Entertainment India Pvt. Ltd.,0.69,0.654,1,-4.725,1,0.202,0.072,0.00053,0.0252,0.628,124.983,4
spotify:track:065Z2aaZ990VPUHM9kHbI6,"Don'u Don'u Don'u (From ""Maari"") - The Don's Romance",Chill Level : Anirudh Ravichander,Anirudh Ravichander;Alisha Thomas;Dhanush,2017-08-04,195709,52,false,sanjnalnmurthi,2018-08-01T11:21:01Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.776,0.82,8,-4.405,0,0.0414,0.287,0.000361,0.242,0.773,89.982,4
spotify:track:066zM9sFYBE7Byy1UsRwiB,Anthimaalai Neram,Monster (Original Motion Picture Soundtrack),Justin Prabhakaran;Sid Sriram,2019-05-08,237792,45,false,sanjnalnmurthi,2024-12-06T18:40:29Z,"tollywood,telugu pop,mollywood,tamil pop,malayalam pop,kollywood",Sony Music Entertainment India Pvt. Ltd.,0.617,0.412,4,-9.578,1,0.128,0.562,0,0.203,0.66,139.875,4
spotify:track:06kdodAePAAZXUOeRS6RAF,Thanni Karuthirichi,Yennai Theriyuma (Original Motion Picture Soundtrack),Achu;Silambarasan TR;Vineetha Ajith;Vaali,2008-11-20,270346,57,false,sanjnalnmurthi,2023-01-30T11:06:20Z,"kollywood,tollywood,tamil pop,tamil dance,tamil indie,telugu pop,tamil hip hop",Sony Music Entertainment India Pvt. Ltd.,0.598,0.849,10,-8.532,0,0.506,0.421,0.00000419,0.229,0.691,74.906,4
spotify:track:06urexU7lv41RDdLnMzChi,Oh! Shanthi Shanthi,Vaaranam Aayiram (Original Motion Picture Soundtrack),Harris Jayaraj;Clinton;S.P. Charan;Thamarai,2008-10-08,183533,58,false,sanjnalnmurthi,2023-11-30T14:47:27Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood",Sony Music Entertainment India Pvt. Ltd.,0.706,0.597,10,-7.045,1,0.041,0.464,0,0.226,0.41,132.91,4
spotify:track:07qhD31OsIcxztrBJqFQN7,Mazhai Varum - Male,Veppam (Original Motion Picture Soundtrack),Joshua Sridhar;Naresh Iyer,2011-01-06,268800,43,false,sanjnalnmurthi,2023-02-06T17:58:38Z,"tamil pop,kollywood,malayalam pop,mollywood,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.7,0.604,10,-5.906,1,0.0301,0.148,0.00465,0.137,0.514,95.007,4
